model_name,mean_latency,model_size,top1_acc,model_type
pit_xs_distilled_224_224,0.04276958703994751,42.16,79.306,transformer
lambda_resnet26rpt_256_256,0.07194210290908813,42.46,78.970,cnn
efficientnetv2_rw_s.ra2_in1k_384,0.31409467458724977,91.14,83.808,transformer
resnest50d_1s4x24d_224,0.15046666860580443,97.87,80.988,cnn
pvt_v2_b2_li_224,0.1719859719276428,86.35,82.196,transformer
convnext_large.fb_in22k_ft_in1k_384_384,1.515686285495758,754.64,87.472,cnn
vit_base_patch32_clip_224.openai_ft_in1k_224,0.08650673627853393,336.66,81.930,transformer
convnext_xlarge.fb_in22k_ft_in1k_384_384,2.4545807242393494,1336.11,87.748,cnn
inception_v3_299,0.16803445816040039,90.90,77.440,cnn
tf_efficientnet_b6.ap_in1k_528,1.6486735224723816,163.98,84.788,cnn
efficientnet_b4.ra2_in1k_384,0.380392324924469,73.66,83.428,cnn
tf_efficientnet_b0.aa_in1k_224,0.09457067251205445,20.22,76.848,cnn
tf_efficientnet_b1.ap_in1k_240,0.14183810949325562,29.76,79.280,cnn
efficientnet_es.ra_in1k_224,0.05238707065582275,20.67,78.066,cnn
eca_nfnet_l1_320,0.5838865160942077,304.31,84.010,cnn
hardcorenas_d_224,0.04217239618301392,28.61,77.432,cnn
ig_resnext101_32x32d_224,0.40792045593261717,338.37,85.094,cnn
xcit_tiny_24_p8_224_dist_224,0.3202816009521484,46.59,82.562,transformer
mobilevitv2_200_in22ft1k_256,0.2325389266014099,70.46,82.324,transformer
maxvit_tiny_tf_384.in1k_384,1.1717763543128967,119.11,85.106,transformer
gluon_resnet50_v1s_224,0.10853999853134155,97.89,78.712,cnn
tf_efficientnet_b0.ap_in1k_224,0.09554005861282348,20.22,77.086,cnn
twins_svt_base_224,0.20321890115737914,214.29,83.136,transformer
deit_base_patch16_384_384,0.7724910616874695,331.45,83.106,transformer
convnext_small.fb_in22k_ft_in1k_288,0.3094943046569824,191.80,85.262,cnn
flexivit_large.1200ep_in1k_240,0.8904388546943665,1161.24,85.644,transformer
maxvit_large_tf_224.in1k_224,1.5583925724029541,809.62,84.926,transformer
maxvit_rmlp_small_rw_224_224,0.3343737244606018,248.05,84.484,transformer
repvgg_b3g4_224,0.3105282664299011,319.78,80.212,cnn
edgenext_xx_small_288,0.04217660427093506,5.21,71.866,transformer
mobilevitv2_150_in22ft1k_256,0.16364318132400513,40.51,81.478,transformer
mobilenetv2_110d.ra_in1k_224,0.035700535774230956,17.19,75.036,cnn
ig_resnext101_32x8d_224,0.4078028678894043,338.37,82.688,cnn
legacy_seresnet18_224,0.04364885091781616,44.93,71.744,cnn
tf_efficientnetv2_l.in1k_480,1.7363864421844482,451.43,85.670,cnn
deit3_base_patch16_384_384,0.7790163993835449,331.52,85.072,transformer
gcvit_tiny_224,0.1874100923538208,130.87,83.400,transformer
vgg11_bn_224,0.2187320590019226,506.84,70.360,cnn
dla60x_c_224,0.05552901029586792,5.04,67.892,cnn
cait_s24_384_384,1.8341760277748107,179.78,85.046,transformer
maxvit_base_tf_384.in1k_384,2.9888073563575746,458.24,86.294,transformer
deit3_large_patch16_384_384,2.4841485381126405,1162.80,85.810,transformer
cspresnext50_256,0.1457624316215515,78.39,80.546,cnn
gernet_l_256,0.08557757139205932,118.39,81.354,cnn
convnext_large.fb_in22k_ft_in1k_288,0.8945833802223205,754.64,87.016,cnn
xception71_299,0.46816585063934324,161.19,79.874,cnn
tv_resnet50_224,0.09380730390548705,97.41,76.138,cnn
pvt_v2_b4_224,0.35884416103363037,239.33,83.716,transformer
hrnet_w48_224,0.33294637203216554,295.53,79.300,cnn
vit_base_patch32_384.augreg_in1k_384,0.2605311036109924,336.93,78.760,transformer
vit_base_patch16_clip_384.openai_ft_in12k_in1k_384,0.7723566293716431,331.45,87.034,transformer
mobilevitv2_100_256,0.09332246780395508,18.81,78.090,transformer
regnetx_016_224,0.09022371768951416,35.00,76.950,cnn
gluon_resnet152_v1d_224,0.2399964451789856,229.47,80.474,cnn
tf_efficientnet_lite1.in1k_240,0.09143062829971313,20.67,76.642,cnn
gmlp_s16_224_224,0.10569403171539307,74.38,79.642,cnn
fbnetc_100.rmsp_in1k_224,0.032253479957580565,21.20,75.124,cnn
swsl_resnext101_32x16d_224,0.7636051416397095,739.56,83.346,cnn
twins_svt_small_224,0.09682235717773438,92.08,81.682,transformer
