model_name,mean_latency,size_in_mb,top1_acc,type
legacy_seresnet18_224.onnx,0.2683311104774475,44.93,71.744,CNN
tf_efficientnet_em.in1k_240.onnx,0.6020951867103577,26.29,78.130,CNN
hrnet_w44_224.onnx,2.230598199367523,255.85,78.896,CNN
coat_lite_tiny_224.onnx,0.42698395252227783,22.02,77.512,Transformer
vit_small_patch16_224.augreg_in21k_ft_in1k_224.onnx,0.6792339444160461,84.22,81.402,Transformer
tf_mobilenetv3_large_minimal_100.in1k_224.onnx,0.07075642347335816,15.01,72.248,CNN
tf_efficientnet_lite2.in1k_260.onnx,0.30459682941436766,23.24,77.468,CNN
tf_inception_v3_299.onnx,0.8503925561904907,90.90,77.860,CNN
maxvit_small_tf_384.in1k_384.onnx,6.849374747276306,264.19,85.534,Transformer
tf_efficientnet_lite3.in1k_300.onnx,0.5024780392646789,31.24,79.820,CNN
tf_efficientnetv2_m.in21k_ft_in1k_480.onnx,4.603140723705292,206.21,86.004,CNN
repvgg_b2g4_224.onnx,1.7645910739898683,235.60,79.366,CNN
gernet_m_224.onnx,0.441959285736084,80.55,80.732,CNN
pvt_v2_b5_224.onnx,2.5886255383491514,313.53,83.740,Transformer
regnetz_d8_evos_320.onnx,2.0811723589897158,89.96,84.050,CNN
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k_224.onnx,2.363479435443878,330.34,86.170,Transformer
xcit_nano_12_p16_224_dist_224.onnx,0.16288702487945556,11.87,72.302,Transformer
tf_efficientnet_el.in1k_300.onnx,1.3769635915756226,40.32,80.250,CNN
regnetz_e8_320.onnx,3.016954708099365,219.89,85.030,CNN
xcit_tiny_12_p16_224_dist_224.onnx,0.29143146276473997,25.84,78.578,Transformer
ssl_resnext101_32x4d_224.onnx,1.1950697660446168,168.31,80.924,CNN
mvitv2_tiny_224.onnx,1.0302372574806213,92.63,82.404,Transformer
gcvit_small_224.onnx,1.5893438935279847,229.48,83.884,Transformer
maxvit_tiny_tf_384.in1k_384.onnx,3.854766809940338,119.11,85.106,Transformer
cs3se_edgenet_x_320.onnx,2.598332631587982,193.49,83.548,CNN
hardcorenas_a_224.onnx,0.10783722400665283,20.06,75.916,CNN
tf_mobilenetv3_small_minimal_100.in1k_224.onnx,0.02539687156677246,7.86,62.906,CNN
swsl_resnet18_224.onnx,0.2647722601890564,44.58,73.276,CNN
resmlp_24_224_224.onnx,0.9079665422439576,114.63,79.374,CNN
flexivit_large.600ep_in1k_240.onnx,10.31983449459076,1161.24,85.538,Transformer
resnest50d_224.onnx,0.8704728364944458,104.79,80.974,CNN
maxvit_base_tf_512.in21k_ft_in1k_512.onnx,25.23260817527771,459.11,88.212,Transformer
tf_efficientnet_b1.ns_jft_in1k_240.onnx,0.3458699584007263,29.76,81.388,CNN
gluon_resnext50_32x4d_224.onnx,0.6429247736930848,95.37,79.354,CNN
gc_efficientnetv2_rw_t.agc_in1k_288.onnx,0.6830448150634766,52.21,82.464,CNN
swsl_resnext101_32x8d_224.onnx,2.401598572731018,338.37,84.284,CNN
efficientnet_b3.ra2_in1k_320.onnx,0.8295530438423157,46.59,82.242,CNN
xcit_large_24_p8_224_dist_224.onnx,21.402310800552367,721.22,85.396,Transformer
mobilenetv3_small_100.lamb_in1k_224.onnx,0.03913737535476684,9.71,67.652,CNN
vit_base_patch32_clip_384.openai_ft_in12k_in1k_384.onnx,1.756970226764679,336.94,85.212,Transformer
xcit_small_12_p16_384_dist_384.onnx,2.4188294410705566,100.38,84.706,Transformer
ig_resnext101_32x48d_224.onnx,2.3974212765693665,338.37,85.428,CNN
nf_resnet50_288.onnx,1.0265466451644898,187.21,80.662,CNN
mobilevit_s_256.onnx,0.4793606996536255,21.42,78.312,Transformer
hrnet_w48_224.onnx,2.5614949107170104,295.53,79.300,CNN
xception65_299.onnx,2.2460015177726746,151.97,83.180,CNN
vit_small_r26_s32_224.augreg_in21k_ft_in1k_224.onnx,0.5922035455703736,192.64,81.858,Transformer
vit_small_patch16_224.augreg_in1k_224.onnx,0.6770445346832276,84.22,78.846,Transformer
vit_relpos_small_patch16_224.sw_in1k_224.onnx,0.6809587717056275,84.28,81.462,Transformer
xception41p_299.onnx,1.4754767060279845,102.67,81.958,CNN
deit3_large_patch16_384_384.onnx,27.88252583742142,1162.80,85.810,Transformer
convnext_atto_ols.a2_in1k_288.onnx,0.3232700705528259,14.20,77.216,CNN
regnetz_040_320.onnx,1.4358072876930237,103.26,84.236,CNN
convnext_tiny.fb_in22k_ft_in1k_384_384.onnx,2.635109519958496,109.17,84.080,CNN
mobilenetv2_100.ra_in1k_224.onnx,0.09802556037902832,13.34,72.970,CNN
swinv2_cr_small_224_224.onnx,1.458760952949524,191.60,83.146,Transformer
