model_name,mean_latency,model_size,top1_acc,model_type
maxvit_small_tf_224.in1k_224,2.307240200042725,263.83,84.434,transformer
vgg16_224,2.252663314342499,527.80,71.594,cnn
pit_b_224_224,1.8910178899765016,281.59,82.446,transformer
semnasnet_075.rmsp_in1k_224,0.0903210163116455,11.09,72.974,cnn
hrnet_w64_224,4.181490850448609,488.47,79.474,cnn
resnet10t_224,0.16334134340286255,20.73,68.294,cnn
xcit_small_12_p8_224_224,3.1380580067634583,100.23,83.344,transformer
convnext_femto_ols.d1_in1k_288,0.41722660064697265,20.02,78.934,cnn
eca_nfnet_l1_320,2.498224651813507,304.31,84.010,cnn
regnetx_080_224,1.14666645526886,150.81,79.194,cnn
efficientnet_b0.ra_in1k_224,0.21365960836410522,20.15,77.698,cnn
nasnetalarge_331,4.682179749011993,338.83,82.620,cnn
tf_efficientnet_b0.ns_jft_in1k_224,0.21989599466323853,20.22,78.658,cnn
tinynet_c.in1k_184,0.08743300437927246,9.38,71.232,cnn
efficientnet_b4.ra2_in1k_384,1.6076406836509705,73.66,83.428,cnn
dm_nfnet_f1_320,6.038169634342194,833.73,84.626,cnn
flexivit_small.300ep_in1k_240,0.7863368630409241,84.26,82.172,transformer
edgenext_small_rw_320,0.655003833770752,30.03,80.456,transformer
tresnet_l_448_448,5.924660408496857,213.52,82.268,cnn
xception71_299,2.9006718397140503,161.19,79.874,cnn
tf_mobilenetv3_small_100.in1k_224,0.04233928918838501,9.78,67.922,cnn
dm_nfnet_f0_256,2.132684648036957,450.49,83.386,cnn
vit_base_patch32_clip_224.laion2b_ft_in1k_224,0.6239007830619812,336.66,82.582,transformer
efficientnet_b3_pruned.in1k_300,0.4081483244895935,37.63,80.858,cnn
vit_relpos_base_patch32_plus_rpn_256.sw_in1k_256,1.035808837413788,455.72,79.480,transformer
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k_224,0.6204000592231751,336.66,83.306,transformer
gmlp_s16_224_224,0.84221351146698,74.38,79.642,cnn
vit_base_patch16_clip_384.laion2b_ft_in1k_384,7.616403388977051,331.45,86.620,transformer
tf_efficientnet_b1.ap_in1k_240,0.3470013737678528,29.76,79.280,cnn
swinv2_cr_small_ns_224_224,1.4569095373153687,191.61,83.488,transformer
regnetz_c16_evos_320,1.2868460059165954,51.86,82.630,cnn
cs3sedarknet_x_288,1.616698944568634,135.05,82.654,cnn
tf_efficientnet_b7.ra_in1k_600,10.116971564292907,252.76,84.936,cnn
pnasnet5large_331,4.8760923624038695,328.63,82.782,cnn
regnetx_160_224,2.2061012148857118,206.87,79.856,cnn
cs3darknet_focus_l_288,0.9136288881301879,80.68,80.884,cnn
tresnet_xl_224,2.2270644426345827,299.11,82.054,cnn
regnetx_008_224,0.1437726378440857,27.64,75.038,cnn
tf_efficientnet_b3.aa_in1k_300,0.7538508296012878,46.66,81.636,cnn
convit_small_224,0.8641818881034851,106.52,81.426,transformer
tf_mixnet_l.in1k_224,0.39253278970718386,28.42,78.774,cnn
cs3darknet_focus_m_288,0.4203114628791809,35.50,77.278,cnn
wide_resnet101_2_224,3.1462279319763184,483.82,78.856,cnn
skresnet18_224,0.3071812629699707,45.63,73.038,cnn
deit_base_patch16_384_384,7.611964321136474,331.45,83.106,transformer
convnext_tiny_hnf.a2h_in1k_288,1.6173789262771607,109.17,82.590,cnn
crossvit_18_dagger_408_408,5.308726215362549,170.50,84.196,transformer
sebotnet33ts_256_256,0.7334977507591247,52.38,81.150,transformer
mobilenetv2_120d.ra_in1k_224,0.19625377655029297,22.18,77.284,cnn
vit_base_patch8_224.augreg2_in21k_ft_in1k_224,10.729578375816345,330.37,86.212,transformer
res2net50_48w_2s_224,0.6193068623542786,96.39,77.522,cnn
vit_large_patch14_clip_224.laion2b_ft_in1k_224,11.119855308532715,1160.66,87.292,transformer
fbnetv3_g.ra2_in1k_288,0.6009490013122558,63.35,82.048,cnn
hrnet_w32_224,1.3947780132293701,157.35,78.450,cnn
