,model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
55,yolo4d1w5_160,0.7853,0.56484,0.67427,0.37783
56,yolo4d1w5_192,0.82592,0.66767,0.75612,0.43793
57,yolo4d1w5_224,0.8418,0.7137,0.7927,0.43624
58,yolo4d1w5_256,0.87221,0.76437,0.84086,0.51266
59,yolo4d1w5_288,0.8849,0.78807,0.86011,0.53245
60,yolo4d1w5_320,0.89078,0.80878,0.87626,0.54952
61,yolo4d1w5_352,0.89571,0.81831,0.88402,0.55889
62,yolo4d1w5_384,0.90246,0.83153,0.89388,0.5695
63,yolo4d1w5_416,0.90641,0.83851,0.89975,0.57605
64,yolo4d1w5_448,0.90771,0.84038,0.90189,0.5634
65,yolo4d1w5_480,0.90798,0.85062,0.90848,0.58649
66,yolo4l_160,0.81012,0.59184,0.70655,0.41295
67,yolo4l_192,0.84796,0.69189,0.78557,0.47286
68,yolo4l_224,0.86127,0.73759,0.81896,0.46374
69,yolo4l_256,0.88604,0.7848,0.85891,0.53861
70,yolo4l_288,0.89439,0.80889,0.87777,0.55698
71,yolo4l_320,0.9002,0.8271,0.89097,0.56906
72,yolo4l_352,0.9044,0.8376,0.89814,0.57683
73,yolo4l_384,0.90899,0.84588,0.9044,0.58402
74,yolo4l_416,0.91275,0.85352,0.90965,0.58919
75,yolo4l_448,0.91479,0.85097,0.90876,0.57325
76,yolo4l_480,0.91459,0.85775,0.9156,0.59737
77,yolo4n_160,0.73931,0.54345,0.62987,0.32724
78,yolo4n_192,0.78812,0.62315,0.70486,0.38299
79,yolo4n_224,0.80945,0.67321,0.74887,0.39158
80,yolo4n_256,0.84093,0.72339,0.79817,0.46239
81,yolo4n_288,0.8547,0.74741,0.82319,0.48561
82,yolo4n_320,0.86909,0.77057,0.8434,0.50735
83,yolo4n_352,0.87342,0.78406,0.85651,0.52099
84,yolo4n_384,0.88448,0.79745,0.86841,0.53481
85,yolo4n_416,0.89266,0.80378,0.87757,0.54473
86,yolo4n_448,0.89306,0.81052,0.88001,0.53526
87,yolo4n_480,0.89701,0.82007,0.88986,0.56161
88,yolo4s_160,0.78541,0.57599,0.67984,0.37735
89,yolo4s_192,0.82625,0.66098,0.75275,0.43436
90,yolo4s_224,0.84214,0.71043,0.79162,0.43525
91,yolo4s_256,0.86937,0.75983,0.83528,0.50881
92,yolo4s_288,0.88503,0.78001,0.85623,0.52788
