model_name,nano_gpu_latency,openvino_latency,vim3_latency,raspi4_tflite_latency,orange_pi_latency,a40_trt_latency
yolo6l-d1w1_224,0.1802250750859578,0.0303262551625569,0.0858133333333333,1.1801233333333334,0.06221588,0.0043097233772277
yolo6l-d1w1_256,0.1942784341176351,0.0382251306374867,0.103617,1.1958566666666666,0.0883893766666666,0.0044424390792846
yolo6l-d1w1_288,0.287565992673238,0.0448086218039194,0.1571749999999999,1.54293,0.0958883166666666,0.0046902632713317
yolo6l-d1w1_320,0.3139090371131897,0.0539823579788207,0.1840943333333333,1.89284,0.1177779499999999,0.0047310185432434
yolo6l-d1w1_352,0.3446785338719685,0.0630335366725921,0.229899,2.281816666666667,0.1398128899999999,0.0050595474243164
yolo6l-d1w1_384,0.386313867966334,0.0747197397549946,0.2510889999999999,2.727253333333333,0.1554116433333333,0.0051495742797851
yolo6l-d1w1_416,0.4752884213129678,0.087268567085266,0.2906096666666666,3.219173333333333,0.18646324,0.0058118557929992
yolo6l-d1w1_448,0.5066311860084534,0.1042280654112497,0.3297293333333333,3.72554,0.2045186433333332,0.0059548163414001
yolo6l-d1w1_480,0.5637196667989096,0.1265346745649973,0.3674783333333333,4.28571,0.2316456566666666,0.0063193726539611
yolo6l-d1w25_160,0.0368715238571166,0.0026907591025034,0.0115916666666666,0.0288833333333333,0.02007833,0.001826639175415
yolo6l-d1w25_192,0.0402886831760406,0.0030640912055968,0.0150263333333333,0.0397,0.0224397699999999,0.0018722462654113
yolo6l-d1w25_224,0.0388394331932067,0.0038303371270497,0.0186713333333333,0.0546266666666666,0.0246124966666666,0.0018623566627502
yolo6l-d1w25_256,0.0383396128813425,0.0042795654137928,0.0234353333333333,0.0698333333333333,0.0259760566666666,0.0019550013542175
yolo6l-d1w25_288,0.0448950350284576,0.0052495606740315,0.0320353333333333,0.0920933333333333,0.0308285066666666,0.0019661617279052
yolo6l-d1w25_320,0.0490243049462635,0.005937408208847,0.03806,0.1115966666666666,0.0345438233333333,0.0019675970077514
yolo6l-d1w25_352,0.0548673729101816,0.0069470310211181,0.044791,0.13958,0.0389663433333333,0.0020125174522399
yolo6l-d1w25_384,0.0596783991654713,0.007633561293284,0.0510503333333333,0.1661899999999999,0.0405204066666666,0.0020610427856445
yolo6l-d1w25_416,0.072912878592809,0.010358361005783,0.0605056666666666,0.19934,0.0439927366666666,0.0021202898025512
yolo6l-d1w25_448,0.0783178214232126,0.0098782296975453,0.0681753333333333,0.23363,0.0497769133333333,0.0022155976295471
yolo6l-d1w25_480,0.0882493623097737,0.0111645209789275,0.0771616666666666,0.2786133333333333,0.0584823466666666,0.0022080612182617
yolo6l-d1w5_160,0.0473945355415343,0.0065718487898508,0.022703,0.1288666666666666,0.0305617733333333,0.0026070952415466
yolo6l-d1w5_192,0.055149954954783,0.0081010886033375,0.0297806666666666,0.1758766666666666,0.0344292199999999,0.0026499652862548
yolo6l-d1w5_224,0.0645340454578399,0.0099984021981556,0.037835,0.24583,0.0389466466666666,0.0026758503913879
yolo6l-d1w5_256,0.0679385050137837,0.0117609242598214,0.0477423333333333,0.27253,0.0476948233333333,0.0027177166938781
yolo6l-d1w5_288,0.1068653953075408,0.0140028317769368,0.0675826666666666,0.34139,0.0525077233333333,0.0027782106399536
yolo6l-d1w5_320,0.1188124434153238,0.0161751914024352,0.0795719999999999,0.4305166666666666,0.0625582266666666,0.0028430032730102
yolo6l-d1w5_352,0.1309184674421945,0.018734745979309,0.0938773333333333,0.5185033333333333,0.07649268,0.0029452276229858
yolo6l-d1w5_384,0.1438964068889617,0.0212439918518066,0.1119756666666666,0.6249366666666666,0.0761651033333333,0.0029441738128662
yolo6l-d1w5_416,0.1744788738091786,0.0247730823357899,0.1261186666666666,0.73732,0.0888042333333333,0.00313570022583
yolo6l-d1w5_448,0.1882835443814595,0.0279996263980864,0.1419766666666666,0.8685333333333333,0.09915378,0.0032466220855712
yolo6l-d1w5_480,0.2121980567773182,0.0315144117673237,0.1607313333333333,0.99578,0.1107714066666666,0.0033275127410888
yolo6l-d1w75_160,0.0851840583483377,0.0128941178321838,0.0351716666666666,0.3196233333333333,0.0408259633333333,0.0033835625648498
yolo6l-d1w75_192,0.0998770670096079,0.0158243095874786,0.0457589999999999,0.4456366666666667,0.0465326966666666,0.0033491945266723
yolo6l-d1w75_224,0.115160359541575,0.0201355187098184,0.0602036666666666,0.6081166666666666,0.05111007,0.0034785652160644
yolo6l-d1w75_256,0.1207085669040679,0.0239071158568064,0.0712156666666666,0.6468833333333334,0.0611428066666666,0.0035228848457336
yolo6l-d1w75_288,0.1888177108764648,0.0284891386826832,0.1076113333333333,0.8526933333333333,0.0746586199999999,0.0037671446800231
yolo6l-d1w75_320,0.2195141323407491,0.0333445795377095,0.126588,1.02288,0.0824179266666666,0.0038405799865722
yolo6l-d1w75_352,0.2451876854896545,0.0393823568026224,0.153112,1.246916666666667,0.1020531933333333,0.0039514946937561
yolo6l-d1w75_384,0.2657910192012786,0.0448182944456735,0.1772276666666666,1.4927700000000002,0.1105031166666666,0.0039968657493591
yolo6l-d1w75_416,0.3273493842283884,0.0535321609179178,0.2026516666666666,1.7843633333333333,0.12713753,0.0043916368484497
yolo6l-d1w75_448,0.3494706447919209,0.0597207736968993,0.2260983333333333,2.042126666666667,0.14618927,0.0045441031455993
yolo6l-d1w75_480,0.3904642653465271,0.0742069057623545,0.2601916666666666,2.3721566666666667,0.1670689,0.0048958587646484
yolo6l-d33w1_160,0.0705072283744811,0.0108667981624603,0.0345073333333333,0.3348833333333333,0.0287639833333333,0.0023288679122924
yolo6l-d33w1_192,0.0911504328250884,0.0137595935662586,0.046243,0.4594099999999999,0.0358026333333333,0.0023088836669921
yolo6l-d33w1_224,0.1085413122177123,0.0168889105319976,0.0583356666666666,0.6432466666666667,0.04087673,0.0024691820144653
yolo6l-d33w1_256,0.1185338370005289,0.0217048970858255,0.068144,0.6465566666666668,0.0513933133333333,0.0024975275993347
yolo6l-d33w1_288,0.1665452361106872,0.0248525091012318,0.1097776666666666,0.83494,0.0644445933333333,0.0026586413383483
yolo6l-d33w1_320,0.1922021178404489,0.0300954381624856,0.126182,1.0266166666666667,0.0809639433333332,0.0027095603942871
yolo6l-d33w1_352,0.212250876824061,0.0348140267531076,0.154689,1.2289833333333335,0.0911180033333333,0.0029025268554687
yolo6l-d33w1_384,0.2491343255837757,0.0401011335849761,0.1673466666666666,1.4740366666666669,0.1061159833333332,0.0029555416107177
yolo6l-d33w1_416,0.307162385781606,0.0465704286098479,0.2010076666666666,1.7504433333333334,0.1255804033333333,0.0033611726760864
yolo6l-d33w1_448,0.3263267588615417,0.0543686580657958,0.2191086666666667,2.0047333333333333,0.1395314466666666,0.0034839606285095
yolo6l-d33w1_480,0.371899660428365,0.0616592685381571,0.2419666666666666,2.33298,0.1574008,0.003924810886383
yolo6l-d33w25_160,0.0234272940953572,0.0015157703558603,0.008171,0.0180866666666666,0.0099441333333333,0.0010691165924072
yolo6l-d33w25_192,0.0249848115444182,0.0017498564720153,0.0103553333333333,0.0248666666666666,0.0131228099999999,0.0010940051078796
yolo6l-d33w25_224,0.0257112689812977,0.0021784861882527,0.012962,0.0340566666666666,0.0141593499999999,0.0011147260665893
yolo6l-d33w25_256,0.0254247323671976,0.0025249445438384,0.015525,0.04403,0.0165465366666666,0.0011361980438232
yolo6l-d33w25_288,0.027805406252543,0.0030309792359669,0.0218396666666666,0.0571166666666666,0.0190746066666666,0.0011943626403808
yolo6l-d33w25_320,0.0314472707112629,0.0034897458553313,0.0248629999999999,0.0715766666666666,0.02169479,0.0012385559082031
yolo6l-d33w25_352,0.0356264249483743,0.0041292432943979,0.0299563333333333,0.0874133333333333,0.0256010966666666,0.0012222218513488
yolo6l-d33w25_384,0.039457836151123,0.0045683125654856,0.0335063333333333,0.1041,0.0285058599999999,0.0013047862052917
yolo6l-d33w25_416,0.0476220683256784,0.0053607122103372,0.039411,0.12491,0.0323579766666666,0.0013010883331298
yolo6l-d33w25_448,0.0526080318291981,0.0059246158599852,0.046574,0.1485533333333333,0.03600587,0.0013713550567626
yolo6l-d33w25_480,0.0592249572277068,0.0066698944568633,0.050267,0.1702833333333333,0.0401869833333333,0.0014353656768798
yolo6l-d33w5_160,0.0278318846225738,0.0038149249553679,0.0157786666666666,0.0732833333333333,0.0186508033333333,0.0015290689468383
yolo6l-d33w5_192,0.0329536692301432,0.0046181909243265,0.019225,0.1011799999999999,0.02327086,0.0015118694305419
yolo6l-d33w5_224,0.0394074014822641,0.0057842775185902,0.0253599999999999,0.1381933333333333,0.0242100133333333,0.0015521645545959
yolo6l-d33w5_256,0.0431320869922637,0.0069270197550455,0.0315793333333333,0.1508066666666666,0.0289410766666666,0.0015803122520446
yolo6l-d33w5_288,0.0627607699235279,0.007966847817103,0.0464139999999999,0.1996,0.0341347466666666,0.0016623520851135
yolo6l-d33w5_320,0.0711137759685516,0.0094202856222788,0.0537576666666666,0.2432433333333333,0.03821484,0.0016978764533996
yolo6l-d33w5_352,0.0808017905553181,0.0109298646450042,0.0655593333333333,0.2980433333333334,0.0459772566666666,0.0017431807518005
yolo6l-d33w5_384,0.0913942976792653,0.0123271111647287,0.0731683333333333,0.3618533333333333,0.0507997033333333,0.0017545700073242
yolo6l-d33w5_416,0.1103386815388997,0.0141189905007679,0.08333,0.4234,0.0592572399999999,0.0019062519073486
yolo6l-d33w5_448,0.1203543857733408,0.016019928852717,0.0931256666666666,0.4890133333333333,0.0584345766666666,0.001969130039215
yolo6l-d33w5_480,0.1371723985671996,0.0180291044712066,0.109828,0.5581900000000001,0.0698188133333333,0.0020976877212524
yolo6l-d33w75_160,0.0477742294470468,0.0072213304042815,0.02405,0.1789233333333333,0.0225611399999999,0.0019223237037658
yolo6l-d33w75_192,0.0591136292616525,0.009048124551773,0.030853,0.2422633333333333,0.0283068966666666,0.0019260311126708
yolo6l-d33w75_224,0.0696066113313038,0.0110212898254394,0.0404143333333333,0.33664,0.0347148799999999,0.001974868774414
