model_name,precision,recall,mAP_0.5,mAP_0.5:0.95,pi4_ort_latency,nano_gpu_latency,ov_latency,vim3_latency,pi4_tflite_fp32_latency,pi4_tflite_int8_latency
yolo6m-d6w75_224,0.72579,0.62452,0.70078,0.49559,0.4645357648531596,0.1054304377237955,0.0174551037947336,0.0399896666666666,0.6479533333333333,0.2109733333333333
yolo6m-d6w75_256,0.74984,0.63238,0.71979,0.51223,0.5391365698973337,0.1124421540896097,0.0219013361136118,0.0434056666666666,0.6427633333333334,0.2703399999999999
yolo6m-d6w75_288,0.77195,0.65589,0.74194,0.53253,0.7178516173362732,0.1658631742000579,0.0254772798220316,0.0729026666666666,0.8408866666666667,0.3528133333333333
yolo6m-d6w75_320,0.78378,0.67314,0.76158,0.55448,0.8813632921377818,0.1871887032190958,0.0307598129908243,0.080724,1.02465,0.41961
yolo6m-d6w75_352,0.77816,0.68761,0.7616,0.55246,1.053054112593333,0.2074256714185078,0.0359285791714985,0.0943473333333333,1.2330466666666666,0.5094466666666667
yolo6m-d6w75_384,0.7852,0.69088,0.77804,0.57807,1.2172931102911633,0.2357924155394236,0.0412754885355631,0.1013333333333333,1.44897,0.5838566666666667
yolo6m-d6w75_416,0.79202,0.70266,0.79001,0.59039,1.470408024787903,0.2878573389848073,0.0476943616072336,0.1155446666666666,1.7308633333333334,0.70912
yolo6m-d6w75_448,0.79676,0.70685,0.79781,0.59648,1.7165972590446472,0.3084921713670094,0.0551348396142323,0.122634,2.003743333333333,0.8161466666666667
yolo6m-d6w75_480,0.80329,0.71347,0.80495,0.60826,1.997742158571879,0.3410831316312153,0.0618149602413177,0.1395183333333333,2.30435,0.9268666666666666
yolo6s-d1w1_160,0.72072,0.56982,0.64266,0.43871,1.2658303260803223,0.2767681368192036,0.0500427758693694,0.0977923333333333,2.118463333333333,0.50906
yolo6s-d1w1_192,0.71713,0.61238,0.67988,0.47238,1.6403484090169271,0.3445828195412954,0.0620788240432738,0.1040499999999999,2.876793333333333,0.74532
yolo6s-d1w1_224,0.76489,0.6412,0.72706,0.52383,2.3110318557421365,0.3795452634493509,0.0809426899751027,0.1151343333333333,4.051136666666667,0.9886266666666668
yolo6s-d1w1_256,0.77026,0.65424,0.73666,0.53288,2.788314399719239,0.3908802672227223,0.106738044420878,0.1215423333333333,4.24099,1.3004999999999998
yolo6s-d1w1_288,0.76657,0.67665,0.75129,0.55126,3.690094665288925,0.6585559697945912,0.1324028853575388,0.192567,5.37932,1.6664533333333331
yolo6s-d1w1_320,0.78067,0.69461,0.76836,0.56736,4.381434735854467,0.7162523472309114,0.1692791179815927,0.2112883333333333,6.737480000000001,2.017796666666667
yolo6s-d1w1_352,0.78172,0.70527,0.7793,0.57961,5.424246329069138,0.7641425693035125,0.2059369083245594,0.243326,8.002226666666667,2.44667
yolo6s-d1w1_384,0.79638,0.71104,0.78937,0.58877,6.087130916515986,0.8390143704414368,0.2433337334791818,0.264164,9.45017,2.908203333333333
yolo6s-d1w1_416,0.78253,0.71711,0.78971,0.59046,7.371653500000636,1.0664283204078673,0.2893347593148549,0.300249,11.05328,3.45391
yolo6s-d1w1_448,0.80915,0.71372,0.79905,0.60239,8.459963744481405,1.1205967394510905,0.3360732944806416,0.3406716666666667,12.84783,3.9286433333333335
yolo6s-d1w1_480,0.8033,0.73694,0.81286,0.6149,10.065629716714222,1.2278514512379963,0.3843087470531463,0.371079,14.986473333333334,4.5734200000000005
yolo6s-d1w25_160,0.47239,0.37828,0.37594,0.23322,0.0968020562330881,0.0355960444609323,0.0049632390340169,0.0088633333333333,0.08944,0.04308
yolo6s-d1w25_192,0.55156,0.42933,0.4616,0.29994,0.1230198740959167,0.0411183599630991,0.0057316275437672,0.0095273333333333,0.12081,0.05787
yolo6s-d1w25_224,0.578,0.4649,0.50171,0.33147,0.1669195866584777,0.0442713379859923,0.0071210046609242,0.010949,0.1673766666666666,0.0792833333333333
yolo6s-d1w25_256,0.58609,0.49496,0.5286,0.35098,0.1908301989237467,0.0457017902533213,0.0089980320135751,0.0115349999999999,0.1814299999999999,0.1022366666666666
yolo6s-d1w25_288,0.61555,0.51568,0.55481,0.37393,0.2613896739482879,0.0771685930093128,0.0099928061167398,0.0191273333333333,0.2313166666666666,0.1292499999999999
yolo6s-d1w25_320,0.64273,0.53495,0.58392,0.39478,0.3068976799647013,0.0798629939556121,0.0114651894569396,0.021781,0.27749,0.1605833333333333
yolo6s-d1w25_352,0.61289,0.52661,0.56775,0.38495,0.3815009880065917,0.0867436854044596,0.0135070725282033,0.025112,0.3425466666666666,0.1981699999999999
yolo6s-d1w25_384,0.64082,0.55794,0.60463,0.41912,0.4468123642603556,0.0904073230425516,0.0150457712014516,0.0262636666666666,0.4104466666666666,0.2352766666666666
yolo6s-d1w25_416,0.67467,0.55139,0.61486,0.43034,0.5097795037428537,0.1106799805164336,0.0174582854906717,0.029877,0.48323,0.2878566666666666
yolo6s-d1w25_448,0.67015,0.56679,0.62585,0.43793,0.603913122812907,0.1154721724987029,0.0195498331387837,0.031403,0.5643633333333333,0.33393
yolo6s-d1w25_480,0.68736,0.5813,0.6447,0.4557,0.6779739979902902,0.1274485146999358,0.0221778722604115,0.0362356666666666,0.65568,0.38378
yolo6s-d1w5_160,0.61915,0.49287,0.5399,0.35183,0.3445547544956207,0.0939211074511209,0.0141050219535827,0.0274629999999999,0.44593,0.1398799999999999
yolo6s-d1w5_192,0.67351,0.54496,0.60863,0.41477,0.4359209676583608,0.1088383714358011,0.0172955763339995,0.0293333333333333,0.6106366666666666,0.1913366666666666
yolo6s-d1w5_224,0.68852,0.57798,0.6418,0.4451,0.6262376272678375,0.1210484548409779,0.0220914010206857,0.03326,0.8563466666666666,0.2703066666666667
yolo6s-d1w5_256,0.71987,0.5962,0.67487,0.47435,0.7033547488848368,0.1255242327849069,0.027444307009379,0.0350236666666666,0.8554666666666666,0.33962
yolo6s-d1w5_288,0.71177,0.60721,0.68543,0.48542,0.9524979281425476,0.2002862946192423,0.0326675939559936,0.0584803333333333,1.10913,0.45969
yolo6s-d1w5_320,0.71042,0.61481,0.67958,0.48206,1.138686764240265,0.2109906454881032,0.0395678285757699,0.0636679999999999,1.35057,0.5388166666666666
yolo6s-d1w5_352,0.74146,0.64189,0.71741,0.51301,1.3570677169164025,0.2273272514343261,0.046349293788274,0.072487,1.654653333333333,0.6627833333333334
yolo6s-d1w5_384,0.74406,0.64817,0.7185,0.51514,1.6083351552486418,0.2462488309542337,0.0530950880050658,0.084497,1.9387966666666667,0.7672333333333333
yolo6s-d1w5_416,0.76241,0.6602,0.741,0.54427,1.8760626669724785,0.3053670994440714,0.0630755424499511,0.0872563333333333,2.308743333333333,0.92451
yolo6s-d1w5_448,0.76044,0.66647,0.74504,0.54619,2.2289725053310394,0.3171913472811381,0.0755676265557606,0.094122,2.680846666666667,1.0685733333333332
yolo6s-d1w5_480,0.76969,0.67416,0.75707,0.56038,2.6163293981552123,0.3451568873723347,0.0859779389699299,0.1052106666666666,3.064783333333333,1.2382233333333332
yolo6s-d1w75_160,0.66701,0.5431,0.59792,0.39515,0.7125394018491109,0.1795611663659413,0.0291529885927835,0.0454136666666666,1.1305733333333332,0.3090866666666667
yolo6s-d1w75_192,0.70894,0.58921,0.66352,0.46304,0.9354688541094464,0.2114837479591369,0.0403911626338958,0.050003,1.53069,0.3995266666666666
yolo6s-d1w75_224,0.72843,0.62505,0.69603,0.49426,1.2822777342796323,0.2350279319286346,0.0476477551460265,0.0593743333333333,2.1521666666666666,0.5821566666666667
yolo6s-d1w75_256,0.73506,0.64661,0.71588,0.51483,1.548940080801646,0.2406561756134032,0.0591000560919443,0.0623866666666666,2.1819133333333336,0.74105
yolo6s-d1w75_288,0.75983,0.65579,0.7327,0.53157,2.071002310117086,0.3769476119677226,0.0699918619791666,0.1146909999999999,2.8772299999999995,0.9301566666666666
yolo6s-d1w75_320,0.75514,0.66853,0.74362,0.54049,2.499854675531388,0.4455009027322132,0.0884894490242004,0.120255,3.5164166666666667,1.1824266666666667
yolo6s-d1w75_352,0.76411,0.67602,0.75566,0.55184,2.955092368920644,0.4775769186019897,0.1100661655267079,0.1412046666666666,4.280553333333334,1.433026666666667
yolo6s-d1w75_384,0.77513,0.68451,0.76258,0.55897,3.4270030931631723,0.5562181727091472,0.1317476332187652,0.1513926666666666,4.961366666666667,1.6266833333333333
yolo6s-d1w75_416,0.79597,0.6912,0.77733,0.57632,4.14068585117658,0.6857551316420237,0.1533284624417622,0.1705893333333333,5.89059,1.9909266666666667
yolo6s-d1w75_448,0.79597,0.69875,0.78269,0.5847,4.868844926357269,0.7062198428312939,0.1823678576946258,0.1824783333333333,6.824636666666667,2.2511633333333334
yolo6s-d1w75_480,0.78509,0.70707,0.78517,0.58981,5.639210353692373,0.7610005549589793,0.2105059456825256,0.1988656666666667,7.813893333333334,2.57921
yolo6s-d33w1_160,0.71732,0.57019,0.64238,0.42928,0.4933193580309549,0.1187226549784342,0.0205356498559315,0.0484566666666666,0.8264066666666667,0.2119633333333333
yolo6s-d33w1_192,0.75453,0.61768,0.69981,0.48785,0.6401299647490184,0.1495740874608357,0.0254358029365538,0.0524419999999999,1.13734,0.2906766666666667
yolo6s-d33w1_224,0.7541,0.65239,0.72685,0.51511,0.8977045202255249,0.1680084093411763,0.0328872696558633,0.0600883333333333,1.5935733333333333,0.4017933333333333
yolo6s-d33w1_256,0.76504,0.67652,0.74962,0.53723,1.087029306491216,0.1767366568247476,0.0415632557868957,0.0636579999999999,1.6068,0.5069233333333333
yolo6s-d33w1_288,0.78256,0.69699,0.76988,0.55454,1.4755914946397146,0.2796937318642934,0.0492442031701405,0.103631,2.077806666666667,0.6516033333333334
yolo6s-d33w1_320,0.79924,0.70032,0.78165,0.56571,1.75649405837059,0.3103379654884338,0.059893763065338,0.1140123333333333,2.554346666666667,0.7900066666666667
yolo6s-d33w1_352,0.79025,0.71432,0.7926,0.57753,2.165338401794434,0.33548899213473,0.0705058125654855,0.1375313333333333,3.181456666666667,0.9529133333333334
yolo6s-d33w1_384,0.7862,0.73638,0.80459,0.60064,2.401997625430425,0.3776790002981822,0.1004621287186939,0.1465566666666666,3.6436466666666663,1.1450033333333334
yolo6s-d33w1_416,0.79194,0.74365,0.81086,0.60725,2.8875664246082304,0.4714932282765705,0.1019618618488311,0.1613966666666666,4.3008,1.3578433333333333
yolo6s-d33w1_448,0.81916,0.73212,0.8169,0.61451,3.4011246315638224,0.5007539002100626,0.1245003493626912,0.1821366666666666,5.00479,1.54493
yolo6s-d33w1_480,0.80955,0.73332,0.81624,0.61551,3.9654582166671752,0.5547613843282063,0.1408598093191782,0.2010106666666666,5.736543333333333,1.8009666666666668
yolo6s-d33w25_160,0.54116,0.43762,0.45856,0.28851,0.0423506263891855,0.0175817668437957,0.0022195434570312,0.006001,0.0371566666666666,0.0226466666666666
yolo6s-d33w25_192,0.60204,0.49354,0.52829,0.33993,0.0536672015984852,0.0206187093257903,0.0024972140789031,0.0066043333333333,0.04955,0.0314466666666666
