model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
yolo6l-d6w25_416,0.80612,0.74469,0.81591,0.62039
yolo6l-d6w25_448,0.81612,0.74621,0.8208,0.6287
yolo6l-d6w25_480,0.80985,0.75534,0.82903,0.63392
yolo6l-d6w5_160,0.77475,0.63828,0.71527,0.51319
yolo6l-d6w5_192,0.79631,0.6871,0.7642,0.56279
yolo6l-d6w5_224,0.7994,0.72402,0.79172,0.59151
yolo6l-d6w5_256,0.8207,0.73906,0.81171,0.61376
yolo6l-d6w5_288,0.81939,0.75908,0.82237,0.62758
yolo6l-d6w5_320,0.82921,0.76321,0.83269,0.64296
yolo6l-d6w5_352,0.83109,0.77758,0.84489,0.6565
yolo6l-d6w5_384,0.82875,0.78746,0.85192,0.66877
yolo6l-d6w5_416,0.83474,0.79579,0.85665,0.67173
yolo6l-d6w5_448,0.84049,0.8,0.86333,0.68165
yolo6l-d6w5_480,0.82897,0.80842,0.86422,0.68438
yolo6m-d1w25_160,0.71604,0.59046,0.65378,0.45385
yolo6m-d1w25_192,0.73525,0.63698,0.70276,0.50031
yolo6m-d1w25_224,0.79211,0.66412,0.74358,0.53888
yolo6m-d1w25_256,0.79277,0.69337,0.76772,0.5686
yolo6m-d1w25_288,0.80959,0.71797,0.79134,0.58858
yolo6m-d1w25_320,0.82037,0.71639,0.80197,0.60395
yolo6m-d1w25_352,0.80503,0.74839,0.81604,0.61803
yolo6m-d1w25_384,0.83191,0.74298,0.826,0.63026
yolo6m-d1w25_416,0.82647,0.75705,0.83244,0.64225
yolo6m-d1w25_448,0.82147,0.76959,0.8355,0.64566
yolo6m-d1w25_480,0.83941,0.75993,0.84401,0.6548
yolo6m-d33w25_160,0.68066,0.55459,0.61117,0.41189
yolo6m-d33w25_192,0.71385,0.59763,0.66227,0.45718
yolo6m-d33w25_224,0.75879,0.63083,0.70555,0.49826
yolo6m-d33w25_256,0.77888,0.64672,0.731,0.52168
yolo6m-d33w25_288,0.78208,0.67419,0.75329,0.54773
yolo6m-d33w25_320,0.79391,0.6855,0.77373,0.56812
yolo6m-d33w25_352,0.80709,0.69808,0.78338,0.58213
yolo6m-d33w25_384,0.81187,0.70963,0.79864,0.59724
yolo6m-d33w25_416,0.82335,0.71729,0.80588,0.60442
yolo6m-d33w25_448,0.80308,0.74617,0.81545,0.61421
yolo6m-d33w25_480,0.80938,0.74897,0.81879,0.61941
yolo6m-d33w5_160,0.76551,0.62428,0.70345,0.50037
yolo6m-d33w5_192,0.78387,0.67673,0.75008,0.54752
yolo6m-d33w5_224,0.80326,0.71422,0.78404,0.58151
yolo6m-d33w5_256,0.80343,0.72573,0.80162,0.59986
yolo6m-d33w5_288,0.81448,0.75215,0.82208,0.62489
yolo6m-d33w5_320,0.82625,0.75629,0.83443,0.63676
yolo6m-d33w5_352,0.82745,0.77045,0.84028,0.64682
yolo6m-d33w5_384,0.82632,0.77605,0.84597,0.65696
yolo6m-d33w5_416,0.83001,0.78119,0.85178,0.66559
yolo6m-d33w5_448,0.82535,0.78927,0.85634,0.67011
yolo6m-d33w5_480,0.83297,0.79552,0.85627,0.67248
yolo6m-d33w75_160,0.78167,0.67075,0.74302,0.53851
yolo6m-d33w75_192,0.79401,0.71184,0.77738,0.57847
yolo6m-d33w75_224,0.81072,0.74114,0.80843,0.61315
yolo6m-d33w75_256,0.81706,0.75834,0.82693,0.63239
yolo6m-d33w75_288,0.83927,0.76542,0.8409,0.65144
yolo6m-d33w75_320,0.82328,0.78727,0.84795,0.66339
yolo6m-d33w75_352,0.84162,0.78845,0.85835,0.67183
yolo6m-d33w75_384,0.83381,0.80226,0.86231,0.68097
yolo6m-d33w75_416,0.83295,0.80436,0.86529,0.68573
yolo6m-d33w75_448,0.84225,0.80844,0.87241,0.6931
yolo6m-d33w75_480,0.83661,0.81449,0.87416,0.69407
yolo6m-d6w25_160,0.73096,0.55851,0.63484,0.43311
yolo6m-d6w25_192,0.74135,0.60962,0.68551,0.48156
yolo6m-d6w25_224,0.77298,0.64995,0.72706,0.5207
yolo6m-d6w25_256,0.77291,0.67425,0.7457,0.54166
yolo6m-d6w25_288,0.78305,0.6875,0.76604,0.56385
yolo6m-d6w25_320,0.78716,0.71624,0.78883,0.58826
yolo6m-d6w25_352,0.80809,0.72038,0.79961,0.6006
yolo6m-d6w25_384,0.80697,0.73761,0.80927,0.61329
yolo6m-d6w25_416,0.82034,0.74081,0.81599,0.62106
yolo6m-d6w25_448,0.82777,0.74028,0.82541,0.6302
yolo6m-d6w25_480,0.81287,0.76031,0.83165,0.6369
yolo6m-d6w5_160,0.76006,0.64331,0.71361,0.50943
yolo6m-d6w5_192,0.79343,0.68415,0.76203,0.5594
yolo6m-d6w5_224,0.80806,0.71961,0.7908,0.59183
yolo6m-d6w5_256,0.82301,0.73418,0.81375,0.61356
yolo6m-d6w5_288,0.8182,0.75971,0.82757,0.63302
yolo6m-d6w5_320,0.80719,0.77124,0.82887,0.63764
yolo6m-d6w5_352,0.82318,0.77781,0.84246,0.65195
yolo6m-d6w5_384,0.8367,0.78637,0.85337,0.66794
yolo6m-d6w5_416,0.83133,0.7929,0.85728,0.67575
yolo6m-d6w5_448,0.8187,0.80944,0.86085,0.67841
yolo6m-d6w5_480,0.83797,0.80505,0.86422,0.68466
yolo6m-d6w75_160,0.78542,0.67969,0.75168,0.5501
yolo6m-d6w75_192,0.80363,0.71951,0.7881,0.59281
yolo6m-d6w75_224,0.81619,0.74514,0.81441,0.62187
yolo6m-d6w75_256,0.82732,0.76465,0.83567,0.64193
yolo6m-d6w75_288,0.82495,0.78447,0.84461,0.6553
yolo6m-d6w75_320,0.84236,0.78282,0.85574,0.67177
yolo6m-d6w75_352,0.84009,0.79873,0.86442,0.67903
yolo6m-d6w75_384,0.84453,0.80169,0.8666,0.68743
yolo6m-d6w75_416,0.84497,0.81198,0.87484,0.69754
yolo6m-d6w75_448,0.8574,0.81072,0.87775,0.70424
yolo6m-d6w75_480,0.84044,0.82764,0.87771,0.70331
yolo6s-d33w25_160,0.69467,0.55632,0.61812,0.41668
yolo6s-d33w25_192,0.74293,0.59686,0.67534,0.47144
yolo6s-d33w25_224,0.75257,0.64452,0.71294,0.50636
yolo6s-d33w25_256,0.7671,0.66377,0.73574,0.53276
yolo6s-d33w25_288,0.77869,0.69581,0.76545,0.56081
yolo6s-d33w25_320,0.79392,0.70563,0.78066,0.57966
yolo6s-d33w25_352,0.7927,0.72003,0.79445,0.59235
yolo6s-d33w25_384,0.79553,0.73467,0.80147,0.60428
yolo6s-d33w25_416,0.8154,0.73309,0.81149,0.61298
yolo6s-d33w25_448,0.80476,0.75864,0.82299,0.62476
yolo6s-d33w25_480,0.82229,0.74731,0.82341,0.62643
yolo6s-d33w5_160,0.76104,0.63384,0.70586,0.50041
yolo6s-d33w5_192,0.78199,0.68282,0.75021,0.54796
yolo6s-d33w5_224,0.814,0.70381,0.77975,0.57893
yolo6s-d33w5_256,0.81345,0.7331,0.79986,0.6031
yolo6s-d33w5_288,0.79997,0.76272,0.81894,0.62288
yolo6s-d33w5_320,0.82718,0.76069,0.83193,0.63867
yolo6s-d33w5_352,0.81866,0.77806,0.83932,0.64884
yolo6s-d33w5_384,0.83301,0.7803,0.84656,0.65913
yolo6s-d33w5_416,0.8393,0.78704,0.85461,0.66736
yolo6s-d33w5_448,0.83673,0.79412,0.85588,0.67284
yolo6s-d33w5_480,0.82326,0.80235,0.86114,0.675
yolo6s-d33w75_160,0.77135,0.66572,0.73472,0.53481
yolo6s-d33w75_192,0.79706,0.71494,0.77696,0.57815
yolo6s-d33w75_224,0.81203,0.72109,0.79864,0.60515
yolo6s-d33w75_256,0.82307,0.75324,0.82287,0.6328
yolo6s-d33w75_288,0.82755,0.76624,0.83664,0.6477
yolo6s-d33w75_320,0.83459,0.77917,0.84985,0.66339
yolo6s-d33w75_352,0.84065,0.79536,0.859,0.67172
yolo6s-d33w75_384,0.83693,0.80129,0.86096,0.68006
yolo6s-d33w75_416,0.83345,0.80639,0.86419,0.68591
yolo6s-d33w75_448,0.83706,0.8105,0.86943,0.69259
yolo6s-d33w75_480,0.84492,0.80896,0.87093,0.69578
yolo6s-d6w25_160,0.7071,0.57044,0.62959,0.43111
yolo6s-d6w25_192,0.724,0.62475,0.68476,0.48328
yolo6s-d6w25_224,0.74838,0.65907,0.72424,0.51997
yolo6s-d6w25_256,0.78632,0.67117,0.75252,0.5489
yolo6s-d6w25_288,0.79447,0.6946,0.77179,0.57057
yolo6s-d6w25_320,0.79753,0.7179,0.79373,0.59462
yolo6s-d6w25_352,0.81838,0.72231,0.80432,0.60716
yolo6s-d6w25_384,0.80351,0.75647,0.82023,0.62462
yolo6s-d6w25_416,0.80961,0.7568,0.82686,0.63112
yolo6s-d6w25_448,0.81599,0.75708,0.83332,0.64086
yolo6s-d6w25_480,0.8211,0.76422,0.83751,0.64737
yolo6s-d6w5_160,0.78504,0.63722,0.72104,0.51895
yolo6s-d6w5_192,0.78862,0.68537,0.761,0.56396
yolo6s-d6w5_224,0.79859,0.72782,0.79395,0.59719
yolo6s-d6w5_256,0.81962,0.7527,0.81627,0.62232
yolo6s-d6w5_288,0.8245,0.76432,0.82823,0.63776
yolo6s-d6w5_320,0.82615,0.77736,0.83998,0.65055
yolo6s-d6w5_352,0.83012,0.78936,0.84945,0.66265
yolo6s-d6w5_384,0.83303,0.79043,0.85717,0.67403
yolo6s-d6w5_416,0.83637,0.80128,0.86524,0.68203
yolo6s-d6w5_448,0.8432,0.79468,0.86592,0.68679
yolo6s-d6w5_480,0.82506,0.81613,0.86777,0.69005
yolo7l_160,0.82148,0.71866,0.79223,0.59613
yolo7l_192,0.82913,0.75292,0.82274,0.63379
yolo7l_224,0.83573,0.78164,0.84423,0.65774
yolo7l_256,0.83079,0.79789,0.85695,0.67601
yolo7l_288,0.81972,0.81024,0.87379,0.69037
yolo7l_320,0.83041,0.82232,0.88296,0.70045
yolo7l_352,0.82437,0.83581,0.88552,0.70774
yolo7l_384,0.81446,0.84667,0.88952,0.71661
yolo7l_416,0.85488,0.83389,0.88685,0.71989
yolo7l_448,0.85493,0.83319,0.89031,0.72433
yolo7l_480,0.8371,0.83855,0.89857,0.73012
yolo7m_160,0.81431,0.70505,0.77876,0.58081
yolo7m_192,0.81406,0.75502,0.81751,0.62421
yolo7m_224,0.82141,0.77197,0.83198,0.64272
yolo7m_256,0.83732,0.7851,0.8485,0.66349
yolo7m_288,0.80668,0.79791,0.85522,0.67054
yolo7m_320,0.82056,0.80516,0.86489,0.68444
yolo7m_352,0.82768,0.81189,0.87438,0.69375
yolo7m_384,0.8316,0.81724,0.87991,0.69947
yolo7m_416,0.82793,0.83305,0.88444,0.70874
yolo7m_448,0.83266,0.83667,0.8916,0.71526
yolo7m_480,0.83762,0.82583,0.88869,0.71311
yolo7n_160,0.71912,0.59675,0.66022,0.46206
yolo7n_192,0.75916,0.62969,0.71151,0.50957
yolo7n_224,0.77202,0.68456,0.75296,0.54721
