model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
yolo5l_160,0.6991,0.25837,0.32235,0.17136
yolo5l_192,0.73353,0.30597,0.37741,0.20271
yolo5l_224,0.75874,0.34957,0.42366,0.2316
yolo5l_256,0.771,0.39392,0.46963,0.25691
yolo5l_288,0.78615,0.4274,0.5071,0.27805
yolo5l_320,0.81118,0.46425,0.54861,0.30256
yolo5l_352,0.82234,0.49096,0.57622,0.3196
yolo5l_384,0.82352,0.52149,0.60854,0.33645
yolo5l_416,0.84048,0.54518,0.63599,0.35252
yolo5l_448,0.8488,0.57023,0.65838,0.36526
yolo5l_480,0.85223,0.58841,0.67932,0.37721
yolo5m_160,0.69665,0.24978,0.31074,0.16382
yolo5m_192,0.72398,0.29984,0.3645,0.19449
yolo5m_224,0.74867,0.34213,0.41034,0.22086
yolo5m_256,0.7631,0.38132,0.45349,0.24533
yolo5m_288,0.7835,0.41701,0.49292,0.26781
yolo5m_320,0.80054,0.45127,0.53158,0.29075
yolo5m_352,0.80819,0.48179,0.56283,0.30858
yolo5m_384,0.82251,0.51056,0.5939,0.32591
yolo5m_416,0.83495,0.52885,0.61824,0.3407
yolo5m_448,0.83598,0.55723,0.64277,0.35382
yolo5m_480,0.84497,0.57565,0.66461,0.36685
yolo5n_160,0.61268,0.21399,0.24796,0.12199
yolo5n_192,0.66735,0.2518,0.29231,0.14725
yolo5n_224,0.6951,0.29109,0.33834,0.17297
yolo5n_256,0.72403,0.32177,0.37461,0.19335
yolo5n_288,0.7432,0.35433,0.41152,0.21386
yolo5n_320,0.76051,0.38641,0.44933,0.23611
yolo5n_352,0.771,0.41321,0.47847,0.25202
yolo5n_384,0.77403,0.44091,0.5085,0.26892
yolo5n_416,0.79142,0.46068,0.53301,0.28377
yolo5n_448,0.80429,0.48381,0.55821,0.29671
yolo5n_480,0.80712,0.50319,0.57828,0.31032
yolo5s_160,0.6657,0.23841,0.2875,0.14824
yolo5s_192,0.71204,0.28086,0.33929,0.17816
yolo5s_224,0.73806,0.32466,0.38602,0.20439
yolo5s_256,0.75064,0.36267,0.4282,0.22868
yolo5s_288,0.76936,0.39557,0.46554,0.25018
yolo5s_320,0.77914,0.4336,0.50528,0.27286
yolo5s_352,0.80048,0.45691,0.53385,0.28951
yolo5s_384,0.81583,0.48353,0.56393,0.3061
yolo5s_416,0.81543,0.50848,0.58942,0.32208
yolo5s_448,0.82767,0.53061,0.61363,0.33577
yolo5s_480,0.8349,0.55284,0.63718,0.34745
yolo6l-d1w25_160,0.62351,0.21724,0.25332,0.1271
yolo6l-d1w25_192,0.66557,0.259,0.29985,0.15229
yolo6l-d1w25_224,0.70859,0.29648,0.34623,0.17871
yolo6l-d1w25_256,0.72672,0.33036,0.3865,0.20142
yolo6l-d1w25_288,0.73811,0.3605,0.41997,0.22048
yolo6l-d1w25_320,0.75964,0.39138,0.45701,0.2402
yolo6l-d1w25_352,0.76918,0.41886,0.48685,0.25707
yolo6l-d1w25_384,0.78971,0.44507,0.51883,0.27542
yolo6l-d1w25_416,0.79589,0.46714,0.54221,0.28899
yolo6l-d1w25_448,0.80427,0.48991,0.56766,0.30456
yolo6l-d1w25_480,0.80867,0.51282,0.58879,0.31636
yolo6l-d33w25_160,0.61217,0.21477,0.24783,0.12261
yolo6l-d33w25_192,0.65564,0.24663,0.28318,0.13985
yolo6l-d33w25_224,0.69043,0.28905,0.33412,0.17038
yolo6l-d33w25_256,0.71921,0.32371,0.37534,0.19317
yolo6l-d33w25_288,0.73212,0.35332,0.40826,0.21173
yolo6l-d33w25_320,0.74615,0.38742,0.4463,0.2349
yolo6l-d33w25_352,0.76682,0.4102,0.47569,0.2504
yolo6l-d33w25_384,0.77535,0.43713,0.50417,0.26767
yolo6l-d33w25_416,0.78047,0.46054,0.53004,0.28202
yolo6l-d33w25_448,0.7944,0.48446,0.55647,0.29604
yolo6l-d33w25_480,0.80288,0.50342,0.57735,0.30845
yolo6l-d33w5_160,0.66175,0.23892,0.28578,0.14705
yolo6l-d33w5_192,0.70651,0.28403,0.33666,0.17513
yolo6l-d33w5_224,0.73167,0.32315,0.38238,0.20064
yolo6l-d33w5_256,0.75152,0.36323,0.42579,0.22675
yolo6l-d33w5_288,0.76497,0.39602,0.46237,0.24815
yolo6l-d33w5_320,0.78554,0.4278,0.50062,0.27015
yolo6l-d33w5_352,0.79785,0.45502,0.53106,0.28735
yolo6l-d33w5_384,0.80967,0.48338,0.56183,0.30444
yolo6l-d33w5_416,0.81914,0.50674,0.58863,0.32063
yolo6l-d33w5_448,0.83206,0.52607,0.61054,0.33387
yolo6l-d33w5_480,0.83483,0.54825,0.63394,0.34564
yolo6l-d33w75_160,0.68798,0.2459,0.29848,0.15817
yolo6l-d33w75_192,0.72578,0.29386,0.35059,0.18622
yolo6l-d33w75_224,0.7468,0.33906,0.402,0.21617
yolo6l-d33w75_256,0.75955,0.3758,0.44207,0.24009
yolo6l-d33w75_288,0.78132,0.4087,0.48037,0.26292
yolo6l-d33w75_320,0.79739,0.44799,0.52159,0.28711
yolo6l-d33w75_352,0.80918,0.47552,0.55307,0.3054
yolo6l-d33w75_384,0.81736,0.50369,0.58409,0.32192
yolo6l-d33w75_416,0.82607,0.52539,0.60656,0.33712
yolo6l-d33w75_448,0.8345,0.55027,0.63227,0.3517
yolo6l-d33w75_480,0.8408,0.57089,0.6539,0.36277
yolo6l-d6w25_160,0.63203,0.21764,0.25383,0.12657
yolo6l-d6w25_192,0.65989,0.24681,0.28526,0.14264
yolo6l-d6w25_224,0.71,0.29112,0.3409,0.17505
yolo6l-d6w25_256,0.72161,0.3263,0.38075,0.19714
yolo6l-d6w25_288,0.73285,0.35992,0.416,0.2182
yolo6l-d6w25_320,0.75553,0.39073,0.45376,0.23899
yolo6l-d6w25_352,0.77299,0.4142,0.4832,0.25479
yolo6l-d6w25_384,0.78061,0.4435,0.51406,0.27329
yolo6l-d6w25_416,0.78563,0.46656,0.53783,0.2867
yolo6l-d6w25_448,0.8009,0.48749,0.56282,0.30087
yolo6l-d6w25_480,0.80929,0.50967,0.58597,0.31515
yolo6l-d6w5_160,0.67109,0.24242,0.29024,0.15063
yolo6l-d6w5_192,0.70718,0.28653,0.34006,0.17831
yolo6l-d6w5_224,0.73559,0.32829,0.38918,0.20628
yolo6l-d6w5_256,0.74996,0.36688,0.42853,0.22877
yolo6l-d6w5_288,0.76956,0.40075,0.46861,0.25199
yolo6l-d6w5_320,0.78502,0.43617,0.50804,0.27457
yolo6l-d6w5_352,0.79961,0.46107,0.53834,0.29257
yolo6l-d6w5_384,0.81363,0.49053,0.56882,0.30905
yolo6l-d6w5_416,0.82276,0.51221,0.59355,0.32442
yolo6l-d6w5_448,0.82891,0.53399,0.61772,0.33709
yolo6l-d6w5_480,0.82733,0.55632,0.63935,0.34986
yolo6m-d1w25_160,0.63768,0.21911,0.25783,0.12876
yolo6m-d1w25_192,0.66852,0.25935,0.30192,0.15425
yolo6m-d1w25_224,0.70123,0.29839,0.34762,0.18046
yolo6m-d1w25_256,0.73835,0.32824,0.38714,0.20286
yolo6m-d1w25_288,0.74892,0.36045,0.42274,0.22344
yolo6m-d1w25_320,0.76696,0.39418,0.4609,0.24456
yolo6m-d1w25_352,0.77233,0.42214,0.49198,0.26098
yolo6m-d1w25_384,0.7834,0.45185,0.52249,0.28038
yolo6m-d1w25_416,0.79611,0.47337,0.54743,0.29364
yolo6m-d1w25_448,0.80679,0.49353,0.57287,0.3073
yolo6m-d1w25_480,0.81174,0.51652,0.59592,0.32157
yolo6m-d33w25_160,0.62101,0.21515,0.24977,0.12381
yolo6m-d33w25_192,0.6403,0.231,0.26946,0.13116
yolo6m-d33w25_224,0.68493,0.29467,0.33897,0.17338
yolo6m-d33w25_256,0.72113,0.32602,0.37793,0.19571
yolo6m-d33w25_288,0.73227,0.35579,0.41188,0.21437
yolo6m-d33w25_320,0.75631,0.38792,0.45056,0.2377
yolo6m-d33w25_352,0.76424,0.41462,0.48005,0.25311
yolo6m-d33w25_384,0.76976,0.4431,0.51037,0.27123
yolo6m-d33w25_416,0.78622,0.46392,0.53521,0.28559
yolo6m-d33w25_448,0.7894,0.48771,0.55803,0.2993
yolo6m-d33w25_480,0.80553,0.50657,0.58105,0.31237
yolo6m-d33w5_160,0.66823,0.24176,0.28964,0.14959
yolo6m-d33w5_192,0.69329,0.28643,0.33768,0.17683
yolo6m-d33w5_224,0.74292,0.32549,0.38518,0.2043
yolo6m-d33w5_256,0.75589,0.36078,0.42601,0.22746
yolo6m-d33w5_288,0.77395,0.39897,0.46689,0.25054
yolo6m-d33w5_320,0.78993,0.43365,0.50599,0.27431
yolo6m-d33w5_352,0.79577,0.46243,0.53629,0.28975
yolo6m-d33w5_384,0.8084,0.48981,0.56599,0.30737
yolo6m-d33w5_416,0.82237,0.51161,0.59257,0.32375
yolo6m-d33w5_448,0.8188,0.53747,0.61761,0.33764
yolo6m-d33w5_480,0.83397,0.55372,0.63741,0.35015
yolo6m-d33w75_160,0.67942,0.24599,0.29881,0.15544
yolo6m-d33w75_192,0.72536,0.29898,0.3616,0.19269
yolo6m-d33w75_224,0.74815,0.34323,0.40934,0.21997
yolo6m-d33w75_256,0.76389,0.38139,0.45261,0.24464
yolo6m-d33w75_288,0.78253,0.41563,0.48922,0.26715
yolo6m-d33w75_320,0.79801,0.44965,0.52941,0.29097
yolo6m-d33w75_352,0.82069,0.47733,0.56129,0.30814
yolo6m-d33w75_384,0.82319,0.50425,0.58857,0.32388
yolo6m-d33w75_416,0.82639,0.5294,0.6148,0.33876
yolo6m-d33w75_448,0.83555,0.55325,0.63937,0.35444
yolo6m-d33w75_480,0.83677,0.57666,0.65941,0.36538
yolo6m-d6w25_160,0.63349,0.21748,0.25561,0.12746
yolo6m-d6w25_192,0.67354,0.25808,0.29995,0.15222
yolo6m-d6w25_224,0.70355,0.29931,0.34625,0.17815
yolo6m-d6w25_256,0.73043,0.33081,0.38518,0.19944
yolo6m-d6w25_288,0.74797,0.36028,0.42132,0.22153
yolo6m-d6w25_320,0.7532,0.39597,0.4596,0.24361
yolo6m-d6w25_352,0.76912,0.42192,0.48854,0.2591
yolo6m-d6w25_384,0.78266,0.44818,0.51852,0.27631
yolo6m-d6w25_416,0.79365,0.46921,0.54393,0.2916
yolo6m-d6w25_448,0.8081,0.49162,0.56874,0.30657
yolo6m-d6w25_480,0.80948,0.51253,0.59072,0.31807
yolo6m-d6w5_160,0.60617,0.1982,0.23079,0.10975
yolo6m-d6w5_192,0.70893,0.28774,0.34204,0.18026
yolo6m-d6w5_224,0.73904,0.32807,0.38904,0.20741
yolo6m-d6w5_256,0.74908,0.36741,0.43182,0.23251
yolo6m-d6w5_288,0.77725,0.40204,0.47228,0.25407
yolo6m-d6w5_320,0.78773,0.43672,0.51164,0.2778
yolo6m-d6w5_352,0.79797,0.46347,0.53903,0.29476
yolo6m-d6w5_384,0.81216,0.4917,0.57141,0.31187
yolo6m-d6w5_416,0.82257,0.51405,0.59498,0.32658
yolo6m-d6w5_448,0.82626,0.53807,0.62102,0.3413
yolo6m-d6w5_480,0.82764,0.56502,0.64406,0.35371
yolo6m-d6w75_160,0.69463,0.25331,0.3127,0.16485
yolo6m-d6w75_192,0.72878,0.30256,0.36707,0.19524
yolo6m-d6w75_224,0.74906,0.34483,0.41325,0.22334
yolo6m-d6w75_256,0.76518,0.38437,0.45674,0.24779
yolo6m-d6w75_288,0.78199,0.42029,0.49468,0.27022
yolo6m-d6w75_320,0.79733,0.45628,0.53507,0.29564
yolo6m-d6w75_352,0.80781,0.48612,0.56453,0.31047
yolo6m-d6w75_384,0.81714,0.5109,0.59366,0.32672
yolo6m-d6w75_416,0.83577,0.53021,0.6184,0.34309
yolo6m-d6w75_448,0.84239,0.55421,0.64335,0.35685
yolo6m-d6w75_480,0.84425,0.57888,0.66494,0.36853
yolo6s-d33w25_160,0.62248,0.21296,0.2473,0.12175
yolo6s-d33w25_192,0.65551,0.25948,0.29929,0.15263
yolo6s-d33w25_224,0.69836,0.29545,0.34256,0.17598
yolo6s-d33w25_256,0.73461,0.32624,0.3795,0.19696
yolo6s-d33w25_288,0.73613,0.3604,0.41636,0.21777
yolo6s-d33w25_320,0.75219,0.39246,0.45358,0.23885
yolo6s-d33w25_352,0.7678,0.41822,0.48287,0.25489
yolo6s-d33w25_384,0.77983,0.44242,0.51096,0.27216
yolo6s-d33w25_416,0.78624,0.46437,0.53573,0.28722
yolo6s-d33w25_448,0.79941,0.48686,0.56157,0.30137
yolo6s-d33w25_480,0.79964,0.51203,0.58395,0.31361
yolo6s-d33w5_160,0.67032,0.24103,0.28858,0.14934
yolo6s-d33w5_192,0.70727,0.28671,0.33964,0.17723
yolo6s-d33w5_224,0.73338,0.32804,0.38784,0.20519
yolo6s-d33w5_256,0.75186,0.36672,0.43022,0.22873
yolo6s-d33w5_288,0.77089,0.39962,0.46869,0.25171
yolo6s-d33w5_320,0.78001,0.4354,0.50734,0.27458
yolo6s-d33w5_352,0.79601,0.46227,0.53692,0.29078
yolo6s-d33w5_384,0.81152,0.49059,0.56826,0.3087
yolo6s-d33w5_416,0.81903,0.51153,0.59259,0.3245
yolo6s-d33w5_448,0.82633,0.53467,0.61664,0.33768
yolo6s-d33w5_480,0.83237,0.55508,0.6393,0.34934
yolo6s-d33w75_160,0.68667,0.24998,0.30558,0.16059
yolo6s-d33w75_192,0.72854,0.29706,0.36056,0.19223
yolo6s-d33w75_224,0.74808,0.3404,0.40693,0.21952
yolo6s-d33w75_256,0.76029,0.38203,0.4525,0.24496
yolo6s-d33w75_288,0.77795,0.41389,0.48817,0.26691
yolo6s-d33w75_320,0.80111,0.45038,0.5294,0.29034
yolo6s-d33w75_352,0.81396,0.47529,0.55824,0.30677
yolo6s-d33w75_384,0.81699,0.50684,0.58948,0.32442
yolo6s-d33w75_416,0.82927,0.52691,0.61284,0.3396
yolo6s-d33w75_448,0.83643,0.54969,0.63804,0.35282
yolo6s-d33w75_480,0.8401,0.57336,0.65914,0.36488
yolo6s-d6w25_160,0.63702,0.21583,0.25331,0.1274
yolo6s-d6w25_192,0.67845,0.25689,0.30019,0.15338
yolo6s-d6w25_224,0.70612,0.29573,0.34368,0.17889
yolo6s-d6w25_256,0.73184,0.32691,0.38071,0.19982
yolo6s-d6w25_288,0.75752,0.35995,0.41903,0.22174
yolo6s-d6w25_320,0.77048,0.39332,0.4598,0.24373
yolo6s-d6w25_352,0.7737,0.41986,0.48672,0.26038
yolo6s-d6w25_384,0.78622,0.45309,0.52167,0.27933
yolo6s-d6w25_416,0.79842,0.4687,0.54359,0.29271
yolo6s-d6w25_448,0.80609,0.49432,0.57053,0.30888
yolo6s-d6w25_480,0.80767,0.51611,0.59213,0.32071
yolo6s-d6w5_160,0.67313,0.24076,0.29133,0.15043
yolo6s-d6w5_192,0.71837,0.28948,0.34524,0.18271
yolo6s-d6w5_224,0.74618,0.33331,0.39393,0.21065
yolo6s-d6w5_256,0.76353,0.36865,0.43656,0.23656
yolo6s-d6w5_288,0.78357,0.40411,0.47439,0.25761
yolo6s-d6w5_320,0.79822,0.43891,0.51518,0.28186
yolo6s-d6w5_352,0.81257,0.46634,0.54566,0.29918
yolo6s-d6w5_384,0.81363,0.49701,0.57564,0.31438
yolo6s-d6w5_416,0.82186,0.51982,0.60127,0.33174
yolo6s-d6w5_448,0.83188,0.54291,0.62653,0.3458
yolo6s-d6w5_480,0.83479,0.563,0.64588,0.35625
yolo7l_160,0.72163,0.27155,0.34546,0.18713
yolo7l_192,0.74981,0.32229,0.39992,0.21932
yolo7l_224,0.77012,0.36858,0.44908,0.24845
yolo7l_256,0.78807,0.40862,0.49233,0.27331
yolo7l_288,0.8036,0.44284,0.5288,0.29454
yolo7l_320,0.81053,0.48625,0.57127,0.31805
yolo7l_352,0.82652,0.51203,0.60213,0.33731
yolo7l_384,0.83725,0.53701,0.62897,0.35125
yolo7l_416,0.84091,0.56302,0.6539,0.3678
yolo7l_448,0.85062,0.58596,0.67767,0.38069
yolo7l_480,0.85551,0.60517,0.6953,0.39111
yolo7m_160,0.7145,0.26604,0.33504,0.18028
yolo7m_192,0.73623,0.31629,0.38995,0.21155
yolo7m_224,0.77114,0.35902,0.43673,0.24115
yolo7m_256,0.78485,0.40106,0.48217,0.26578
yolo7m_288,0.80252,0.43503,0.51861,0.2869
yolo7m_320,0.8139,0.46951,0.55713,0.31028
yolo7m_352,0.82413,0.50236,0.58974,0.32703
yolo7m_384,0.82873,0.53137,0.6167,0.34326
yolo7m_416,0.83807,0.5509,0.64117,0.35944
yolo7m_448,0.84204,0.57625,0.66439,0.37222
yolo7m_480,0.85432,0.59325,0.68482,0.38229
yolo7n_160,0.66884,0.23279,0.2784,0.14293
yolo7n_192,0.70478,0.27514,0.32483,0.16888
yolo7n_224,0.7244,0.31735,0.37106,0.19573
yolo7n_256,0.74359,0.35347,0.41296,0.21942
yolo7n_288,0.76484,0.38437,0.44887,0.24011
yolo7n_320,0.77808,0.41836,0.48542,0.26191
yolo7n_352,0.79767,0.4467,0.51923,0.27991
yolo7n_384,0.80217,0.47098,0.54502,0.29454
yolo7n_416,0.8075,0.49556,0.57394,0.3118
yolo7n_448,0.81707,0.51708,0.59568,0.32464
yolo7n_480,0.81662,0.54457,0.6187,0.3363
yolo7s_160,0.69745,0.25469,0.31527,0.16683
yolo7s_192,0.73568,0.30463,0.36984,0.19817
yolo7s_224,0.74932,0.34599,0.41545,0.22711
yolo7s_256,0.77315,0.38364,0.45706,0.25013
yolo7s_288,0.78909,0.41953,0.49687,0.27282
yolo7s_320,0.80473,0.45646,0.53653,0.29649
yolo7s_352,0.80956,0.48676,0.56664,0.31319
